Layer_0,Layer_1,Layer_2,Layer_3,Layer_4
0.0,1.8010958,1.9225622,23.838863,1.0
0.0,0.0,4.6518598,-17.494627,1.1196803e-18
0.0,0.0,10.683696,3.4736726,1.4305733e-09
0.0,0.0,4.329571,-11.943122,2.8845683e-16
0.0,0.0,7.726399,4.5773005,4.3133013e-09
0.0,0.0,0.0,-18.496069,4.1131385e-19
0.0,0.0,8.100806,5.344641,9.290972e-09
0.0,0.0,7.8443594,-5.332194,2.1437347e-13
0.0,3.5500147,5.552468,-5.99388,1.1061257e-13
0.0,0.0,3.0062556,5.1140785,7.3778406e-09
0.0,0.0,0.0,,
0.0,0.58213466,2.5100486,,
0.0,0.5916102,4.243652,,
0.0,0.21673265,0.0,,
0.0,0.0,0.0,,
0.0,2.0603976,1.4135318,,
0.0,1.0549915,7.012744,,
0.0,0.81640804,10.660124,,
0.0,2.006044,10.537514,,
0.0,2.224771,1.7631084,,
0.0,0.9240096,3.082597,,
0.0,0.6771215,4.7203083,,
0.0,0.0,0.0,,
0.0,0.0,0.0,,
0.0,0.0,9.1394205,,
0.0,0.0,0.0,,
0.0,0.0,9.509236,,
0.0,0.0,3.7524736,,
0.0,0.0,2.017263,,
0.0,0.0,4.5015063,,
0.0,1.2130634,5.081739,,
0.0,0.0,7.476824,,
0.0,0.0,3.2478352,,
0.0,1.6427847,3.2645664,,
0.0,0.0,6.9478626,,
0.0,1.3503296,0.0,,
0.0,0.21560363,9.502184,,
0.0,0.0,3.5971622,,
0.0,0.79317904,1.5437852,,
0.0,0.0,0.0,,
0.0,0.0,3.6351235,,
0.0,0.0,12.2701235,,
0.0,1.519662,0.0,,
0.0,1.1998208,0.0,,
0.0,0.06040155,0.0,,
0.0,0.0,0.0,,
0.0,0.0,8.573399,,
0.0,0.0,5.9298925,,
0.0,1.7625265,5.1185846,,
0.0,0.0,0.0,,
0.0,0.0,,,
0.0,4.564817,,,
0.0,0.56262636,,,
0.0,1.9163014,,,
0.0,0.0,,,
0.0,1.7282132,,,
0.0,1.8307495,,,
0.0,1.9378802,,,
0.0,0.0,,,
0.0,0.64853406,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,1.5432085,,,
0.0,0.0,,,
0.0,1.7811843,,,
0.0,0.0,,,
0.0,0.72476584,,,
0.0,1.0892943,,,
0.0,3.559958,,,
0.0,2.6880465,,,
0.0,1.1206064,,,
0.0,1.2277787,,,
0.0,0.113940924,,,
0.0,0.94739616,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.003127424,,,
0.0,5.1431236,,,
0.0,2.1560748,,,
0.0,0.0,,,
0.0,1.2396739,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,2.7832773,,,
0.0,0.0,,,
0.0,3.7604554,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.94452363,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,1.1840363,,,
0.0,0.0,,,
0.0,2.2618535,,,
0.0,0.0,,,
0.0,1.4020486,,,
0.0,3.6555023,,,
0.0,0.8776006,,,
0.0,0.0,,,
0.0,1.088678,,,
0.0,2.8688154,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,3.208926,,,
0.0,0.74727124,,,
0.0,2.9564996,,,
0.0,0.03613226,,,
0.0,0.9129409,,,
0.0,1.5376021,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,1.1957546,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,2.1338847,,,
0.0,0.56533664,,,
0.011764706,0.0,,,
0.3137255,1.6454148,,,
0.7647059,0.50260043,,,
0.33333334,0.0,,,
0.3137255,0.0,,,
0.3137255,1.4477909,,,
0.3137255,0.050862134,,,
0.05490196,0.0,,,
0.0,0.3241164,,,
0.0,1.8351494,,,
0.0,0.0,,,
0.0,2.4183354,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,4.357757,,,
0.0,0.3753642,,,
0.0,0.17445903,,,
0.0,0.4661609,,,
0.0,0.35883135,,,
0.0,0.0,,,
0.0,0.97894776,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.03529412,0.57507074,,,
0.99215686,0.0,,,
0.99215686,0.33695394,,,
0.99215686,0.0,,,
0.99215686,0.0,,,
0.99215686,0.0,,,
0.99215686,0.0,,,
0.59607846,0.0,,,
