Layer_0,Layer_1,Layer_2,Layer_3,Layer_4
0.0,1.2469543,3.5220308,1.0732704,3.7040657e-08
0.0,0.49287978,5.4066296,-4.9353824,9.1023494e-11
0.0,0.1694179,6.532939,0.8634876,3.003107e-08
0.0,0.0,4.809601,-8.886848,1.7500635e-12
0.0,0.0,5.652456,6.2981844,6.8838244e-06
0.0,0.0,0.0,1.0024211,3.450712e-08
0.0,0.0,0.55302954,18.184513,0.9999925
0.0,0.0,6.243794,-3.4440832,4.0440482e-10
0.0,0.36865938,0.60194063,3.7876577,5.591417e-07
0.0,0.0,2.1604013,-3.1987462,5.1685106e-10
0.0,0.73491055,0.20255591,,
0.0,1.3336145,1.4804853,,
0.0,0.0,0.0,,
0.0,2.0934563,1.6913118,,
0.0,0.0,0.0,,
0.0,0.0,3.4676034,,
0.0,0.0,0.0,,
0.0,0.0,1.3481414,,
0.0,0.22826427,6.668796,,
0.0,2.1203418,2.1160748,,
0.0,0.0,0.0,,
0.0,0.8472623,2.744911,,
0.0,0.0,0.0,,
0.0,0.0,3.4915686,,
0.0,0.0,5.559537,,
0.0,0.0,0.0,,
0.0,0.71584743,2.7958112,,
0.0,0.20559391,0.0,,
0.0,0.0,2.9174204,,
0.0,0.0,5.344774,,
0.0,0.87223786,2.1297681,,
0.0,0.20975316,5.203415,,
0.0,0.4107439,7.7802606,,
0.0,0.9162721,7.9655657,,
0.0,0.0,7.7374496,,
0.0,0.0,0.0,,
0.0,0.7661234,4.923848,,
0.0,1.5460804,0.0,,
0.0,0.7744463,0.0,,
0.0,0.0,0.0,,
0.0,0.5228838,0.0,,
0.0,0.22316337,3.1274137,,
0.0,0.5429089,0.0,,
0.0,0.0998338,1.9695554,,
0.0,0.7330824,0.38357666,,
0.0,0.0,0.0,,
0.0,0.751841,4.347503,,
0.0,0.0,1.3515781,,
0.0,2.2242296,0.06200243,,
0.0,0.0,4.662201,,
0.0,0.0,,,
0.0,1.439527,,,
0.0,0.0,,,
0.0,1.7558746,,,
0.0,1.8230218,,,
0.0,1.329432,,,
0.0,1.3497578,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,1.0902255,,,
0.0,0.0,,,
0.0,0.447843,,,
0.0,1.504163,,,
0.0,1.1336508,,,
0.0,0.95471257,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,1.0578736,,,
0.0,1.6589969,,,
0.0,0.0,,,
0.0,0.5593939,,,
0.0,2.0393784,,,
0.0,2.4024212,,,
0.0,0.839574,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.6975681,,,
0.0,0.049757667,,,
0.0,0.0,,,
0.0,1.8405433,,,
0.0,0.0,,,
0.0,1.3540348,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,1.1256478,,,
0.0,0.4087448,,,
0.0,0.0,,,
0.0,0.33676142,,,
0.07058824,0.0,,,
0.8235294,0.0,,,
0.68235296,0.0,,,
0.2901961,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,2.1727648,,,
0.0,0.0,,,
0.0,2.0546908,,,
0.0,0.0,,,
0.0,0.16748296,,,
0.0,1.1572531,,,
0.0,0.10494585,,,
